Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",National Youth Music Organisation,2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments
the Albany,NPO,,306015,311646,179254,Combined arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
The Alternative Theatre Company Ltd.,NPO,,595281,606234,656234,Theatre,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,
The Anvil Trust Ltd,NPO,,138949,141506,141506,Music,South West,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,
The Artangel Trust,NPO,,852333,868016,868016,Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The Arts Depot Trust Ltd,NPO,,301738,307290,307290,Combined arts,London,London,Finchley and Golders Green,Barnet,Non-LUCP,Non-Priority place,
The Ashton Group Theatre,NPO,,80494,81975,148790,Theatre,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,
The Auxiliary Project Space,NPO,,0,0,180000,Visual arts,North,North East,Middlesbrough,Middlesbrough,LUCP,Priority place,
The Bluecoat,NPO,,486887,495846,495846,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
The Bowes Museum,NPO,,367807,374575,374572,Museums,North,North East,Bishop Auckland,County Durham,LUCP,Priority place,
The Box (Plymouth City Council),NPO,,1036500,1220043,1220043,Visual arts,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
The Bronte Society,NPO,,232500,236778,236778,Literature,North,Yorkshire and The Humber,Keighley,Bradford,Non-LUCP,Non-Priority place,
The Children's Bookshow,NPO,,67079,68313,68313,Literature,London,London,Hampstead and Kilburn,Brent,Non-LUCP,Priority place,
THE CLAY FOUNDATION CIO,NPO,,175000,178220,310000,Visual arts,Midlands,West Midlands,Stoke-on-Trent Central,Stoke-on-Trent,LUCP,Priority place,
The Clore Leadership Programme,IPSO (Transfer),,0,0,500000,Not discipline specific,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
The Courtyard Trust,NPO,,212861,216778,216778,Combined arts,Midlands,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,
The Culture House Ltd,NPO,,0,0,120000,Combined arts,North,Yorkshire and The Humber,Great Grimsby,North East Lincolnshire,LUCP,Priority place,
The Customs House,NPO,,100678,102530,204000,Combined arts,North,North East,South Shields,South Tyneside,LUCP,Priority place,
The Dukes Playhouse Ltd,NPO,,256190,260904,260904,Theatre,North,North West,Lancaster and Fleetwood,Lancaster,Non-LUCP,Non-Priority place,
The Exchange Erith Ltd.,NPO,,0,0,108000,Visual arts,London,London,Erith and Thamesmead,Bexley,Non-LUCP,Non-Priority place,
The Food Museum Ltd,NPO,,147504,150218,358218,Museums,South East,East of England,Bury St Edmunds,Mid Suffolk,Non-LUCP,Non-Priority place,
The Forge,NPO,,57496,58554,89054,Combined arts,North,North East,North Durham,County Durham,LUCP,Priority place,
The Foundling Museum,NPO,,0,0,150000,Museums,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The GAP Arts Project,NPO,,0,0,155000,Visual arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
The Garden Museum,NPO,,0,0,122250,Museums,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
The Good Agency,NPO,,0,0,152542,Literature,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
The Hall For Cornwall Trust,NPO,,376282,383206,383206,Theatre,South West,South West,Truro and Falmouth,Cornwall,Non-LUCP,Non-Priority place,
The Hepworth Wakefield Trust,NPO,,906101,922773,922773,Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,
The Island Collection,NPO,,0,0,175000,Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,
The Lawnmowers Independent Theatre Company,NPO,,60998,62120,62120,Theatre,North,North East,Jarrow,Gateshead,Non-LUCP,Non-Priority place,
The Lightbox,NPO,,0,0,150000,Museums,South East,South East,Woking,Woking,Non-LUCP,Non-Priority place,
The Literary Consultancy,NPO,,73985,75346,75346,Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The Lowry Centre Trust,NPO,,860000,875824,875824,Combined arts,North,North West,Salford and Eccles,Salford,Non-LUCP,Non-Priority place,
The Lyric Theatre Hammersmith Limited,NPO,,1100000,1120240,1120240,Theatre,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,
The Maltings Berwick Trust Limited,NPO,,176387,179633,179633,Combined arts,North,North East,Berwick-upon-Tweed,Northumberland,LUCP,Non-Priority place,
The Met,NPO,,100580,102431,187431,Combined arts,North,North West,Bury North,Bury,LUCP,Non-Priority place,
The Midi Music Company,NPO,,117234,119391,119391,Music,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
The Mill Arts Centre,NPO,,0,0,183000,Combined arts,South East,South East,Banbury,Cherwell,Non-LUCP,Non-Priority place,
The Ministry of Stories,NPO,,89113,90753,90753,Literature,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
The National Holocaust Centre and Museum,NPO,,300000,305520,400000,Museums,Midlands,East Midlands,Newark,Newark and Sherwood,LUCP,Non-Priority place,
The National Youth Brass Band of Great Britain,NPO,Yes,61054,62177,119263,Music,South East,East of England,North East Bedfordshire,Bedford,Non-LUCP,Non-Priority place,
The New Carnival Company CIC,NPO,,76661,78072,100372,Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,
The NewBridge Project,NPO,,70000,71288,71288,Visual arts,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
The Norton Priory Museum Trust,NPO,,0,0,136500,Museums,North,North West,Weaver Vale,Halton,LUCP,Non-Priority place,
The Octagon Theatre Trust,NPO,,614060,625359,625359,Theatre,North,North West,Bolton North East,Bolton,LUCP,Non-Priority place,
The Organisation for New Music and Sound,NPO,Yes,704659,717625,500000,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
The Paper Birds Theatre Company,NPO,,0,0,200000,Theatre,South East,East of England,Maldon,Maldon,Non-LUCP,Non-Priority place,
The People's Orchestra,NPO,,0,0,200000,Music,Midlands,West Midlands,West Bromwich East,Sandwell,LUCP,Priority place,
The Performance Ensemble,NPO,,0,0,250000,Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
The Phoenix Theatre & Arts Centre,NPO,,0,0,81233,Combined arts,South West,South East,East Hampshire,East Hampshire,Non-LUCP,Non-Priority place,
The Photographers' Gallery,NPO,,902265,918867,918867,Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
The Plough Arts Centre,NPO,,0,0,120000,Combined arts,South West,South West,Torridge and West Devon,Torridge,LUCP,Non-Priority place,
The Poetry Society,NPO,,354559,361083,361083,Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The Point,NPO,,125000,127300,127300,Combined arts,South West,South East,Eastleigh,Eastleigh,Non-LUCP,Non-Priority place,
The Portland Inn Project CIC,NPO,,0,0,94000,Visual arts,Midlands,West Midlands,Stoke-on-Trent Central,Stoke-on-Trent,LUCP,Priority place,
The Posh Club,NPO,,0,0,150000,Combined arts,South East,South East,Crawley,Crawley,LUCP,Priority place,
The Postal Museum,NPO,,0,0,150000,Museums,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The Pound Arts Trust Ltd,NPO,,75435,76823,76823,Combined arts,South West,South West,Chippenham,Wiltshire,Non-LUCP,Non-Priority place,
The Reader,NPO,,175000,178220,178220,Literature,North,North West,"Liverpool, Wavertree",Liverpool,Non-LUCP,Non-Priority place,
The Reading Agency,NPO,,475394,484141,484141,Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The Ropewalk (Barton) Ltd,NPO,,67079,68313,68313,Combined arts,North,Yorkshire and The Humber,Cleethorpes,North Lincolnshire,LUCP,Non-Priority place,
The Roundhouse Trust,NPO,,974713,992648,992648,Combined arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
The Seachange Trust,NPO,,390000,397176,597176,Combined arts,South East,East of England,Great Yarmouth,Great Yarmouth,LUCP,Priority place,
The Seagull Lowestoft Community Interest Company,NPO,,0,0,100000,Theatre,South East,East of England,Waveney,East Suffolk,Non-LUCP,Non-Priority place,
The Shakespeare North Trust,NPO,,0,0,400000,Theatre,North,North West,St Helens South and Whiston,Knowsley,LUCP,Priority place,
The Showroom,NPO,,127894,130247,130247,Visual arts,London,London,Westminster North,Westminster,Non-LUCP,Non-Priority place,
The Spark Arts for Children,NPO,,172866,176047,176047,Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
The Spring Arts & Heritage Centre,NPO,,120000,122208,122208,Combined arts,South West,South East,Havant,Havant,LUCP,Non-Priority place,
The Story Museum,NPO,,175000,178220,178220,Literature,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
The Theatre Orchard,NPO,,90000,91656,341656,Theatre,South West,South West,Weston-Super-Mare,North Somerset,LUCP,Priority place,
The UK Association for Music Education - Music Mark,IPSO,,0,0,400614,Music,South West,South East,Winchester,Winchester,Non-LUCP,Non-Priority place,
The University of Lincoln,NPO,,0,0,250000,Theatre,Midlands,East Midlands,Lincoln,Lincoln,Non-LUCP,Non-Priority place,
The Warren Youth Project,NPO,,0,0,136000,Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
The Wigmore Hall Trust,NPO,,337987,344206,344206,Music,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
The Writing Squad,NPO,,97743,99541,131291,Literature,North,North West,Stockport,Stockport,Non-LUCP,Non-Priority place,
The Yard Theatre Ltd.,NPO,,150000,152760,152760,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
The York Early Music Foundation,NPO,,270467,275444,275444,Music,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,
Theatre Centre,NPO (Transfer),,240000,244416,244416,Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Theatre de Complicite Education Ltd,NPO (Transfer),,363622,370313,370313,Theatre,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Theatre Hullabaloo,NPO,,250318,254924,389924,Theatre,North,North East,Darlington,Darlington,LUCP,Priority place,
Theatre in the Mill,NPO,,120171,122382,122382,Theatre,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,
Theatre Peckham,NPO,,142924,145554,145554,Theatre,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
Theatre Royal (Plymouth) Ltd,NPO,,1185500,1207313,1207313,Theatre,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
Theatre Royal Bury St Edmunds,NPO,,0,0,220000,Theatre,South East,East of England,Bury St Edmunds,West Suffolk,Non-LUCP,Non-Priority place,
Theatre-Rites,NPO,,240389,244812,244812,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
TheSpace C.I.C.,IPSO,,0,0,1300000,Not discipline specific,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
ThickSkin Theatre,NPO,,0,0,180000,Theatre,North,North West,Wigan,Wigan,LUCP,Priority place,
Threshold Studios,NPO,,80464,81945,184878,Visual arts,Midlands,East Midlands,Northampton North,West Northamptonshire,Non-LUCP,Non-Priority place,
Tiata Fahodzi Ltd,NPO,,210000,213864,338864,Theatre,South East,East of England,Watford,Watford,Non-LUCP,Non-Priority place,
TIN Arts,NPO,,81453,82952,202952,Dance,North,North East,City of Durham,County Durham,LUCP,Priority place,
TL Universal Events Limited,NPO,,0,0,122000,Music,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Tobacco Factory Theatres,NPO,,60348,61458,61458,Theatre,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,
Together! 2012 CIC,NPO,,60000,61104,106104,Combined arts,London,London,East Ham,Newham,Non-LUCP,Priority place,
Told by an Idiot,NPO,,168214,171309,171309,Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Tom Dale Company,NPO,,157600,160500,160500,Dance,Midlands,East Midlands,Nottingham East,Nottingham,Non-LUCP,Non-Priority place,
Tomorrow's Warriors Ltd,NPO,,208744,212585,350000,Music,London,London,Harrow West,Harrow,Non-LUCP,Non-Priority place,
Touretteshero CIC,NPO,,0,0,370000,Combined arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
Touring Exhibitions Group,IPSO,,0,0,160000,Museums,Midlands,Wales,Swansea East,Swansea,Non-LUCP,Non-Priority place,
Towner Art Gallery,NPO,,359350,365962,537962,Visual arts,South East,South East,Eastbourne,Eastbourne,LUCP,Non-Priority place,
Transform Theatre Projects,NPO,,0,0,190000,Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Travaux Sauvages Ltd t/a Wildworks,NPO,,206189,209983,209983,Theatre,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,
Triangle Arts Trust,NPO,,284866,290108,290108,Visual arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Trigger Productions Ltd,NPO,,0,0,325000,Combined arts,South West,South West,Weston-Super-Mare,North Somerset,LUCP,Priority place,
Triple C,NPO,,0,0,309090,Not discipline specific,North,North West,"Manchester, Withington",Manchester,Non-LUCP,Non-Priority place,
Tropical Isles,NPO,,0,0,99250,Combined arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Tullie House Museum and Art Gallery,NPO,,1165861,1187313,1187313,Museums,North,North West,Carlisle,Carlisle,Non-LUCP,Non-Priority place,
Turf Projects,NPO,,0,0,120000,Visual arts,London,London,Croydon Central,Croydon,Non-LUCP,Priority place,
Turner Contemporary,NPO,,669473,681791,681791,Visual arts,South East,South East,North Thanet,Thanet,Non-LUCP,Non-Priority place,
"Turner Sims, Southampton",NPO,,43122,43915,50000,Music,South West,South East,"Southampton, Test",Southampton,Non-LUCP,Non-Priority place,
tutti frutti productions,NPO,,178703,181991,181991,Theatre,North,Yorkshire and The Humber,Leeds East,Leeds,Non-LUCP,Non-Priority place,
Tyne & Wear Archives & Museums,NPO,,3793865,3863672,3357648,Museums,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
UD,NPO,Yes,150870,153646,329337,Music,London,London,West Ham,Newham,Non-LUCP,Priority place,
UK Storyhouse Ltd,NPO,,223895,228015,228015,Combined arts,North,North West,City of Chester,Cheshire West and Chester,Non-LUCP,Non-Priority place,
Unanima Theatre,NPO,,0,0,232000,Theatre,Midlands,East Midlands,Mansfield,Mansfield,LUCP,Priority place,
Unfolding Theatre,NPO,,105000,106932,106932,Theatre,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Unicorn Theatre London Ltd,NPO,,1303884,1327875,1327875,Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Unity Theatre,NPO,,272000,277005,277005,Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
University of Cambridge Museums,NPO,,1212754,1235069,617534,Museums,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,
University of Derby Theatre limited,NPO,,795000,809628,809628,Theatre,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
"University of Leicester, Attenborough Arts Centre",NPO,,207000,210809,210800,Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
University of Oxford,NPO,,1316938,1341170,1341170,Museums,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
University of the Arts London (trading as Artquest),IPSO,,125054,127355,127355,Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
University of Warwick,NPO,,492114,501169,501168,Combined arts,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,
UP Projects,NPO,,100580,102431,102431,Visual arts,London,London,"Enfield, Southgate",Enfield,Non-LUCP,Priority place,
Upswing Aerial Limited,NPO (Transfer),,115667,117795,216095,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Utopia Theatre Limited,NPO,,0,0,300000,Theatre,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Vamos Theatre Company,NPO,,200000,203680,203680,Theatre,Midlands,West Midlands,Worcester,Worcester,Non-LUCP,Non-Priority place,
Vane Contemporary Art Limited,NPO,,60406,61517,61517,Visual arts,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,
Ventnor Exchange,NPO,,0,0,130000,Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,
Venture Arts,NPO,,105000,106932,106932,Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Vincent Dance Theatre,NPO,,249999,254599,254599,Dance,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Vital Xposure,NPO,,100580,102431,192431,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Viva Chamber Orchestra Ltd,NPO,,192107,195642,195642,Music,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,
Vivid Projects,NPO,,74500,75871,75871,Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
VocalEyes,IPSO,,223811,227929,227929,Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Wakefield Council – Museums,NPO,,205000,208772,208772,Museums,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,
Walk The Plank,NPO,,145657,148337,148337,Combined arts,North,North West,Salford and Eccles,Salford,Non-LUCP,Non-Priority place,
Walsall Council,NPO,,881487,897706,938152,Visual arts,Midlands,West Midlands,Walsall South,Walsall,LUCP,Priority place,
Warwickshire Libraries,NPO,,0,0,210000,Libraries,Midlands,West Midlands,Nuneaton,Nuneaton and Bedworth,LUCP,Priority place,
Wasafiri Ltd,NPO,,59413,60506,60506,Literature,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Watershed Arts Trust Ltd,NPO,,744289,757984,757984,Combined arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Wavendon Allmusic Plan Ltd,NPO,,379223,386201,386201,Music,South East,South East,Milton Keynes South,Milton Keynes,Non-LUCP,Non-Priority place,
We Are Unlimited Arts,NPO,,0,0,1000000,Not discipline specific,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,
Welsh National Opera,NPO,,6123000,6235663,4000000,Music,Midlands,Wales,Cardiff South and Penarth,Cardiff,Non-LUCP,Non-Priority place,
Wessex Museums Trust,NPO,,319500,325379,435379,Museums,South West,South West,Poole,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,
West Northamptonshire Council,NPO,,0,0,150000,Museums,Midlands,East Midlands,Northampton South,West Northamptonshire,Non-LUCP,Non-Priority place,
West Yorkshire Print Workshop,NPO,,54366,55366,100000,Visual arts,North,Yorkshire and The Humber,Dewsbury,Kirklees,LUCP,Priority place,
Whitaker Museum & Art Gallery,NPO,,0,0,159933,Museums,North,North West,Rossendale and Darwen,Rossendale,LUCP,Non-Priority place,
Whitechapel Gallery,NPO,,1510168,1537955,1437955,Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Wild Rumpus,NPO,,0,0,160000,Combined arts,North,North West,Congleton,Cheshire East,Non-LUCP,Non-Priority place,
Wiltshire Creative,NPO,,1277944,1301458,1301458,Theatre,South West,South West,Salisbury,Wiltshire,Non-LUCP,Non-Priority place,
Wiltshire Music Centre Trust Ltd,NPO,,101675,103546,103546,Music,South West,South West,Chippenham,Wiltshire,Non-LUCP,Non-Priority place,
Wise Children,NPO,,475000,483740,483000,Theatre,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Without Walls,NPO,,1200000,1222080,1222080,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Wolverhampton City Council,NPO,,167755,170842,270842,Visual arts,Midlands,West Midlands,Wolverhampton North East,Wolverhampton,LUCP,Priority place,
Women & Theatre,NPO,,0,0,121677,Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
Woodhorn Charitable Trust,NPO,,200000,203680,346680,Museums,North,North East,Wansbeck,Northumberland,LUCP,Non-Priority place,
Wordsmith MCR,NPO,,0,0,250000,Literature,North,North West,Stretford and Urmston,Trafford,Non-LUCP,Non-Priority place,
World Heart Beat Music Academy,NPO,,85000,86564,86564,Music,London,London,Putney,Wandsworth,Non-LUCP,Non-Priority place,
Writing East Midlands,NPO,,125725,128038,198038,Literature,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
Writing on the Wall,NPO,,76661,78072,78072,Literature,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Writing Our Legacy,NPO,,0,0,80000,Literature,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Writing West Midlands,NPO,,181044,184375,184375,Literature,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Wysing Arts Centre,NPO,,456768,465173,465173,Visual arts,South East,East of England,South Cambridgeshire,South Cambridgeshire,Non-LUCP,Non-Priority place,
Yaram Arts CIC,NPO,,79900,81370,120358,Music,London,London,West Ham,Newham,Non-LUCP,Priority place,
York Citizens' Theatre Trust,NPO,,587254,598059,598059,Theatre,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,
York Museums Trust,NPO,,1568982,1597851,1252632,Museums,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
Yorkshire Artspace Society Ltd,NPO,,71870,73192,73192,Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Yorkshire Dance Centre Trust,NPO,,325794,331789,331789,Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Yorkshire Sculpture Park,NPO,,1312646,1336799,1336799,Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,
Young Vic Company,NPO,,1760143,1792530,1792530,Theatre,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Your Trust,NPO,,0,0,325000,Combined arts,North,North West,Heywood and Middleton,Rochdale,LUCP,Priority place,
Z-arts,NPO,,255000,259692,401853,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
zerOclassikal,NPO,,0,0,75000,Music,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,
Zest Theatre,NPO,,0,0,180000,Theatre,Midlands,East Midlands,Lincoln,Lincoln,Non-LUCP,Non-Priority place,
ZoieLogic Dance Theatre,NPO,,195300,213864,213864,Dance,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
Zoo Co Creative LTD,NPO,,0,0,200000,Theatre,London,London,Croydon North,Croydon,Non-LUCP,Priority place,
ZooNation: The Kate Prince Company Ltd,NPO,,249999,254599,254599,Dance,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Robin Hood Health Foundation,NPO,,0,0,72230,Not discipline specific,South East,South East,Hove,Brighton and Hove,Non-LUCP,Non-Priority place,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
